Toy{id=9, name='Кегли', frequency=2}
Toy{id=4, name='Робот', frequency=4}
Toy{id=1, name='Кукла', frequency=3}
Toy{id=7, name='Конструктор', frequency=7}
Toy{id=5, name='Машинка', frequency=2}
Toy{id=1, name='Кукла', frequency=3}
Toy{id=8, name='Неваляшка', frequency=6}
Toy{id=6, name='Мозаика', frequency=8}
Toy{id=1, name='Кукла', frequency=3}
Toy{id=8, name='Неваляшка', frequency=6}
Toy{id=4, name='Робот', frequency=4}
Toy{id=3, name='Пирамидка', frequency=10}
Toy{id=7, name='Конструктор', frequency=7}
Toy{id=6, name='Мозаика', frequency=8}
Toy{id=1, name='Кукла', frequency=3}
Toy{id=8, name='Неваляшка', frequency=6}
Toy{id=6, name='Мозаика', frequency=8}
Toy{id=2, name='Мяч', frequency=5}
Toy{id=8, name='Неваляшка', frequency=6}
Toy{id=5, name='Машинка', frequency=2}
Toy{id=1, name='Кукла', frequency=3}
Toy{id=7, name='Конструктор', frequency=7}
Toy{id=5, name='Машинка', frequency=2}
Toy{id=3, name='Пирамидка', frequency=10}
Toy{id=9, name='Кегли', frequency=2}
Toy{id=4, name='Робот', frequency=4}
Toy{id=2, name='Мяч', frequency=5}
Toy{id=7, name='Конструктор', frequency=7}
Toy{id=4, name='Робот', frequency=4}
Toy{id=2, name='Мяч', frequency=5}
Toy{id=9, name='Кегли', frequency=2}
Toy{id=5, name='Машинка', frequency=2}
Toy{id=2, name='Мяч', frequency=5}
